,IC
20241101,-0.2898543786629025
20241104,-0.28147017953067877
20241105,-0.23991797317764504
20241106,-0.26022029269240304
20241107,-0.2549630682405342
20241108,-0.220579385154361
20241111,-0.12106883700696282
20241112,-0.13852307156223848
20241113,-0.14016004731431728
20241114,-0.15444430419699803
20241115,-0.16754958939223727
20241118,-0.14485307020846194
20241119,-0.13735549289241689
20241120,-0.054102137984675835
20241121,-0.10062621327412405
20241122,0.015096170342393536
20241125,0.08967447412609819
20241126,0.09319984264754909
20241127,0.04624260886536237
20241128,0.05811499100853844
20241129,0.08832198112115408
20241202,0.10197250241904054
