,IC
20200102,
20200103,
20200106,
20200107,
20200108,
20200109,
20200110,
20200113,
20200114,
20200115,
20200116,
20200117,
20200120,
20200121,
20200122,
20200123,
20200203,
20200204,
20200205,
20200206,
20200207,
20200210,
20200211,
20200212,
20200213,
20200214,
20200217,
20200218,
20200219,
20200220,
20200221,
20200224,
20200225,
20200226,
20200227,
20200228,
20200302,
20200303,
20200304,
20200305,
20200306,
20200309,
20200310,
20200311,
20200312,
20200313,
20200316,
20200317,
20200318,
20200319,
20200320,
20200323,
20200324,
20200325,
20200326,
20200327,
20200330,
20200331,
20200401,
20200402,
20200403,
20200407,
20200408,
20200409,
20200410,
20200413,
20200414,
20200415,
20200416,
20200417,
20200420,
20200421,
20200422,
20200423,
20200424,
20200427,
20200428,
20200429,
20200430,
20200506,
20200507,
20200508,
20200511,
20200512,
20200513,
20200514,
20200515,
20200518,
20200519,
20200520,
20200521,
20200522,
20200525,
20200526,
20200527,
20200528,
20200529,
20200601,
20200602,
20200603,
20200604,
20200605,
20200608,
20200609,
20200610,
20200611,
20200612,
20200615,
20200616,
20200617,
20200618,
20200619,
20200622,
20200623,
20200624,
20200629,
20200630,
20200701,
20200702,
20200703,
20200706,
20200707,
20200708,
20200709,
20200710,
20200713,
20200714,
20200715,
20200716,
20200717,
20200720,
20200721,
20200722,
20200723,
20200724,
20200727,
20200728,
20200729,
20200730,
20200731,
20200803,
20200804,
20200805,
20200806,
20200807,
20200810,
20200811,
20200812,
20200813,
20200814,
20200817,
20200818,
20200819,
20200820,
20200821,
20200824,
20200825,
20200826,
20200827,
20200828,
20200831,
20200901,
20200902,
20200903,
20200904,
20200907,
20200908,
20200909,
20200910,
20200911,
20200914,
20200915,
20200916,
20200917,
20200918,
20200921,
20200922,
20200923,
20200924,
20200925,
20200928,
20200929,
20200930,
20201009,
20201012,
20201013,
20201014,
20201015,
20201016,
20201019,
20201020,
20201021,
20201022,
20201023,
20201026,
20201027,
20201028,
20201029,
20201030,
20201102,-0.2450599198160375
20201103,-0.2483896055349971
20201104,-0.23613560175449377
20201105,-0.23550121017074926
20201106,-0.17241939874093098
20201109,-0.19124625662161326
20201110,-0.2073364679955738
20201111,-0.14609303911970242
20201112,-0.13980455627422314
20201113,-0.08875445387906186
20201116,-0.018965739757018124
20201117,0.03815280505048414
20201118,0.05411226658686018
20201119,0.0029293251991959974
20201120,0.04660679897332632
20201123,0.07436035025065889
20201124,0.09169338083669223
20201125,0.11897137428806534
20201126,0.1264576221313262
20201127,0.13539973143772124
20201130,0.13695235136045258
20201201,0.1181463564278154
20201202,0.14487301592667917
20201203,0.19259138854383817
20201204,0.2112631009051885
20201207,0.21104386797393293
20201208,0.1933981178793018
20201209,0.21538248664279258
20201210,0.22609520056472654
20201211,0.24050413263096024
20201214,0.20794778456004723
20201215,0.18295007601418153
20201216,0.16438438588153578
20201217,0.16972981759105257
20201218,0.1637696047225364
20201221,0.15590871759240024
20201222,0.17854130622968617
20201223,0.1774971643925044
20201224,0.19327363828313568
20201225,0.16059779724525028
20201228,0.1392265427102297
20201229,0.14208459511015342
20201230,0.12229605524342187
20201231,0.13134235570445638
20210104,0.10989495282701603
20210105,0.07512656398187136
20210106,0.06436743052736045
20210107,0.0029456833682168925
20210108,0.036286479934152405
20210111,0.06361149644673467
20210112,0.04988065308637883
20210113,0.0016527182823932404
20210114,0.009628804785888373
20210115,-0.01602120690880905
20210118,-0.041692906694572894
20210119,-0.04126644027914242
20210120,-0.10176296535673843
20210121,-0.1643609848139561
20210122,-0.21077706597470586
20210125,-0.2493649942092703
20210126,-0.19026229174311338
20210127,-0.23140911137147066
20210128,-0.211194876758666
20210129,-0.24932758217899836
20210201,-0.32111225429118917
20210202,-0.3125851112722803
20210203,-0.3097481490006894
20210204,-0.27270343257649243
20210205,-0.24645469664431366
20210208,-0.29163071965752196
20210209,-0.2926912153067433
20210210,-0.26946442464686476
20210218,-0.2714314504007649
20210219,-0.2314530756847521
20210222,-0.21625021482035534
20210223,-0.2628733971519045
20210224,-0.2114918208422345
20210225,-0.18530472228804976
20210226,-0.10614999336520144
20210301,-0.048532800651278823
20210302,-0.08823651017064067
20210303,-0.09576314250946562
20210304,-0.03362103646664802
20210305,0.0003628118331698917
20210308,0.07055200225141368
20210309,0.1326722515491907
20210310,0.014094181731376611
20210311,-0.04094404162338053
20210312,-0.06858517896399202
20210315,-0.026987523065712716
20210316,0.03149247170378352
20210317,-0.04321134989382555
20210318,-0.06396793155848753
20210319,0.0014224916574071583
20210322,0.012804421398404176
20210323,0.061460418068419724
20210324,0.16822235742010336
20210325,0.16891773498004278
20210326,0.15652171269679327
20210329,0.1414518748190267
20210330,0.08110632471495983
20210331,0.13508222848070012
20210401,0.12287455977273946
20210402,0.10553889946475235
20210406,0.08337931442077788
20210407,0.07030611402870325
20210408,0.041125341006038055
20210409,0.007208590956497503
20210412,0.04936910102380837
20210413,0.10956398638641243
20210414,0.09424162240211664
20210415,0.09651195674261742
20210416,0.12235632928790513
20210419,0.09104326568433584
20210420,0.049985439496240965
20210421,0.06609980714174624
20210422,0.058041264611823656
20210423,0.005007124129559008
20210426,0.015141382610878919
20210427,0.004211070735421336
20210428,-0.04006493542656082
20210429,-0.048746403432309154
20210430,-0.07965121470729714
20210506,-0.08705599233204574
20210507,-0.06896346461362117
20210510,-0.09255922168051658
20210511,-0.05050433200403356
20210512,-0.06760883881033591
20210513,-0.01669981501148498
20210514,-0.014721074196193824
20210517,-0.1132223547250131
20210518,-0.10873605844056154
20210519,-0.11581537238590038
20210520,-0.0767777869089458
20210521,-0.062162206263998016
20210524,-0.04528205716395346
20210525,-0.05656476213104058
20210526,-0.0075328008778766595
20210527,-0.00973334597714184
20210528,-0.02162380608732641
20210531,-0.03996018759255885
20210601,-0.030204211686808365
20210602,-0.04994437307861324
20210603,-0.04834043183288507
20210604,-0.05011200865216062
20210607,0.003881881369483758
20210608,0.024686543301604524
20210609,0.038487399087622456
20210610,0.05905695111490373
20210611,0.07401416950529167
20210615,0.09355790904580481
20210616,0.17475306175691482
20210617,0.18235653719339356
20210618,0.16573470197520476
20210621,0.15648750666873504
20210622,0.12747371331637553
20210623,0.1371632212348492
20210624,0.14817119470048587
20210625,0.11315808613106994
20210628,0.08348601833581186
20210629,0.0961185254644395
20210630,0.11476341606135272
20210701,0.1000661793112995
20210702,0.10985436417044363
20210705,0.09945007211307336
20210706,0.12257936795273024
20210707,0.11539036321966491
20210708,0.13990786889347684
20210709,0.11470673080152544
20210712,0.11713335788611073
