,Q1,Q2,Q3,Q4,Q5,LS
20200102,,,,,,
20200103,,,,,,
20200106,,,,,,
20200107,,,,,,
20200108,,,,,,
20200109,,,,,,
20200110,,,,,,
20200113,,,,,,
20200114,,,,,,
20200115,,,,,,
20200116,,,,,,
20200117,,,,,,
20200120,,,,,,
20200121,,,,,,
20200122,,,,,,
20200123,,,,,,
20200203,,,,,,
20200204,,,,,,
20200205,,,,,,
20200206,,,,,,
20200207,,,,,,
20200210,,,,,,
20200211,,,,,,
20200212,,,,,,
20200213,,,,,,
20200214,,,,,,
20200217,,,,,,
20200218,,,,,,
20200219,,,,,,
20200220,,,,,,
20200221,,,,,,
20200224,,,,,,
20200225,,,,,,
20200226,,,,,,
20200227,,,,,,
20200228,,,,,,
20200302,,,,,,
20200303,,,,,,
20200304,,,,,,
20200305,,,,,,
20200306,,,,,,
20200309,,,,,,
20200310,,,,,,
20200311,,,,,,
20200312,,,,,,
20200313,,,,,,
20200316,,,,,,
20200317,,,,,,
20200318,,,,,,
20200319,,,,,,
20200320,,,,,,
20200323,,,,,,
20200324,,,,,,
20200325,,,,,,
20200326,,,,,,
20200327,,,,,,
20200330,,,,,,
20200331,,,,,,
20200401,,,,,,
20200402,,,,,,
20200403,,,,,,
20200407,,,,,,
20200408,,,,,,
20200409,,,,,,
20200410,,,,,,
20200413,,,,,,
20200414,,,,,,
20200415,,,,,,
20200416,,,,,,
20200417,,,,,,
20200420,,,,,,
20200421,,,,,,
20200422,,,,,,
20200423,,,,,,
20200424,,,,,,
20200427,,,,,,
20200428,,,,,,
20200429,,,,,,
20200430,,,,,,
20200506,,,,,,
20200507,,,,,,
20200508,,,,,,
20200511,,,,,,
20200512,,,,,,
20200513,,,,,,
20200514,,,,,,
20200515,,,,,,
20200518,,,,,,
20200519,,,,,,
20200520,,,,,,
20200521,,,,,,
20200522,,,,,,
20200525,,,,,,
20200526,,,,,,
20200527,,,,,,
20200528,,,,,,
20200529,,,,,,
20200601,,,,,,
20200602,,,,,,
20200603,,,,,,
20200604,,,,,,
20200605,,,,,,
20200608,,,,,,
20200609,,,,,,
20200610,,,,,,
20200611,,,,,,
20200612,,,,,,
20200615,,,,,,
20200616,,,,,,
20200617,,,,,,
20200618,,,,,,
20200619,,,,,,
20200622,,,,,,
20200623,,,,,,
20200624,,,,,,
20200629,,,,,,
20200630,,,,,,
20200701,,,,,,
20200702,,,,,,
20200703,,,,,,
20200706,,,,,,
20200707,,,,,,
20200708,,,,,,
20200709,,,,,,
20200710,,,,,,
20200713,,,,,,
20200714,,,,,,
20200715,,,,,,
20200716,,,,,,
20200717,,,,,,
20200720,,,,,,
20200721,,,,,,
20200722,,,,,,
20200723,,,,,,
20200724,,,,,,
20200727,,,,,,
20200728,,,,,,
20200729,,,,,,
20200730,,,,,,
20200731,,,,,,
20200803,,,,,,
20200804,,,,,,
20200805,,,,,,
20200806,,,,,,
20200807,,,,,,
20200810,,,,,,
20200811,,,,,,
20200812,,,,,,
20200813,,,,,,
20200814,,,,,,
20200817,,,,,,
20200818,,,,,,
20200819,,,,,,
20200820,,,,,,
20200821,,,,,,
20200824,,,,,,
20200825,,,,,,
20200826,,,,,,
20200827,,,,,,
20200828,,,,,,
20200831,,,,,,
20200901,,,,,,
20200902,,,,,,
20200903,,,,,,
20200904,,,,,,
20200907,,,,,,
20200908,,,,,,
20200909,,,,,,
20200910,,,,,,
20200911,,,,,,
20200914,,,,,,
20200915,,,,,,
20200916,,,,,,
20200917,,,,,,
20200918,,,,,,
20200921,,,,,,
20200922,,,,,,
20200923,,,,,,
20200924,,,,,,
20200925,,,,,,
20200928,,,,,,
20200929,,,,,,
20200930,,,,,,
20201009,,,,,,
20201012,,,,,,
20201013,,,,,,
20201014,,,,,,
20201015,,,,,,
20201016,,,,,,
20201019,,,,,,
20201020,,,,,,
20201021,,,,,,
20201022,,,,,,
20201023,,,,,,
20201026,,,,,,
20201027,,,,,,
20201028,,,,,,
20201029,,,,,,
20201030,,,,,,
20201102,0.06391931650017735,0.06238707284917403,0.04929429888599969,0.028025928512252406,-0.0004948012037948658,-0.0644141177039722
20201103,0.04826258155342702,0.04642274985058752,0.028215589802714713,0.004049833760363411,-0.01331162265947561,-0.061574204212902627
20201104,0.04542816907315992,0.05098627337353962,0.024558460470871617,0.009760306608918662,-0.015897569457818995,-0.06132573853097892
20201105,0.03108959423517047,0.033342073392347446,0.008746890565474135,-0.006465110310208202,-0.027627121274182397,-0.05871671550935287
20201106,0.03222291199395335,0.027777914941129116,0.011076008547642234,0.0010701104616902882,-0.012666433973953665,-0.044889345967907016
20201109,0.00990207010267109,0.008448899088320663,-0.009387255628324511,-0.024072193188881492,-0.034383090081842635,-0.04428516018451373
20201110,0.0037304105345332753,-6.049090511617237e-06,-0.020345715287498456,-0.036218680454646185,-0.042398259395164034,-0.04612866992969731
20201111,0.008425950984846014,0.00483005702316626,-0.011752752266707921,-0.024541424726832732,-0.020112216182630552,-0.028538167167476564
20201112,-0.01036124593046877,-0.01272305361545839,-0.030053593293541812,-0.04170807354416866,-0.03716690512282482,-0.02680565919235605
20201113,-0.013081085471168005,-0.006612663902164516,-0.022956128355412907,-0.03388745111723093,-0.02276066632163339,-0.009679580850465384
20201116,-0.031204745242791893,-0.026108799857459605,-0.03344628525565746,-0.042773453629225223,-0.021969881113805732,0.009234864128986161
20201117,-0.042960415819162635,-0.032690229952687125,-0.03979298736377595,-0.04520746529560599,-0.01469739575953896,0.028263020059623674
20201118,-0.040992872291144414,-0.027789393096575524,-0.03497562867040827,-0.04251375851322822,-0.005547533158575781,0.03544533913256863
20201119,-0.04011562366385587,-0.030929721092635667,-0.03729242514505775,-0.050825389296242564,-0.020506066492700623,0.019609557171155246
20201120,-0.04314699675292587,-0.024691531229978064,-0.03828858838225061,-0.04173330408554672,-0.009205017503775562,0.03394197924915031
20201123,-0.06707259406823694,-0.0536210662414683,-0.05970323205032953,-0.06331372591378072,-0.02703391217175202,0.04003868189648492
20201124,-0.06513742479949676,-0.04940091000381433,-0.054697565109215585,-0.05932637330267974,-0.014406661098329478,0.05073076370116728
20201125,-0.0736124895678322,-0.05365312286653996,-0.06394255126788823,-0.061816183153225686,-0.01000068691638073,0.06361180265145147
20201126,-0.061801091589361895,-0.042387454521959994,-0.05322706994193425,-0.04630724661799704,0.006948148534362983,0.06874924012372488
20201127,-0.07263792202840233,-0.052812803332932735,-0.058918154350706256,-0.055869811986330876,0.0012526406059100317,0.07389056263431236
