,Q1,Q2,Q3,Q4,Q5,LS
20200102,1.0,1.0,1.0,1.0,1.0,1.0
20200103,1.0,1.0,1.0,1.0,1.0,1.0
20200106,1.0,1.0,1.0,1.0,1.0,1.0
20200107,1.0,1.0,1.0,1.0,1.0,1.0
20200108,1.0,1.0,1.0,1.0,1.0,1.0
20200109,1.0,1.0,1.0,1.0,1.0,1.0
20200110,1.0,1.0,1.0,1.0,1.0,1.0
20200113,1.0,1.0,1.0,1.0,1.0,1.0
20200114,1.0,1.0,1.0,1.0,1.0,1.0
20200115,1.0,1.0,1.0,1.0,1.0,1.0
20200116,1.0,1.0,1.0,1.0,1.0,1.0
20200117,1.0,1.0,1.0,1.0,1.0,1.0
20200120,1.0,1.0,1.0,1.0,1.0,1.0
20200121,1.0,1.0,1.0,1.0,1.0,1.0
20200122,1.0,1.0,1.0,1.0,1.0,1.0
20200123,1.0,1.0,1.0,1.0,1.0,1.0
20200203,1.0,1.0,1.0,1.0,1.0,1.0
20200204,1.0,1.0,1.0,1.0,1.0,1.0
20200205,1.0,1.0,1.0,1.0,1.0,1.0
20200206,1.0,1.0,1.0,1.0,1.0,1.0
20200207,1.0,1.0,1.0,1.0,1.0,1.0
20200210,1.0,1.0,1.0,1.0,1.0,1.0
20200211,1.0,1.0,1.0,1.0,1.0,1.0
20200212,1.0,1.0,1.0,1.0,1.0,1.0
20200213,1.0,1.0,1.0,1.0,1.0,1.0
20200214,1.0,1.0,1.0,1.0,1.0,1.0
20200217,1.0,1.0,1.0,1.0,1.0,1.0
20200218,1.0,1.0,1.0,1.0,1.0,1.0
20200219,1.0,1.0,1.0,1.0,1.0,1.0
20200220,1.0,1.0,1.0,1.0,1.0,1.0
20200221,1.0,1.0,1.0,1.0,1.0,1.0
20200224,1.0,1.0,1.0,1.0,1.0,1.0
20200225,1.0,1.0,1.0,1.0,1.0,1.0
20200226,1.0,1.0,1.0,1.0,1.0,1.0
20200227,1.0,1.0,1.0,1.0,1.0,1.0
20200228,1.0,1.0,1.0,1.0,1.0,1.0
20200302,1.0,1.0,1.0,1.0,1.0,1.0
20200303,1.0,1.0,1.0,1.0,1.0,1.0
20200304,1.0,1.0,1.0,1.0,1.0,1.0
