ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close,adj_open,adj_high,adj_low
002465.SZ,20100831,48.1,53.45,46.51,49.93,38.0,11.93,31.39,540773.11,2641648.3231,1.0,6.941470874461282,6.687056860836925,7.430835534547477,6.466008619491172
002465.SZ,20100901,50.0,52.2,48.26,50.44,49.93,0.51,1.02,355495.35,1793100.6254,1.0,7.012373140553316,6.951202558042541,7.257055470596414,6.709300709022661
002465.SZ,20100902,49.0,49.97,48.0,48.95,50.44,-1.49,-2.95,218976.84,1071243.7663,1.0,6.805227304323648,6.812178506881691,6.947031836507716,6.67315445572084
002465.SZ,20100903,49.88,52.05,49.3,49.97,48.95,1.02,2.08,191760.47,968583.1058,1.0,6.947031836507716,6.93451967190324,7.236201862922286,6.853885722229946
002465.SZ,20100906,50.38,51.5,46.88,47.45,49.97,-2.52,-5.04,144932.46,705726.9293,1.0,6.596691227582372,7.004031697483666,7.159738634783818,6.517447518420688
002465.SZ,20100907,47.3,48.87,46.89,47.71,47.45,0.26,0.55,80677.48,386666.1178,1.0,6.632837480884193,6.575837619908244,6.79410538023078,6.518837758932296
002465.SZ,20100908,47.02,47.3,46.01,46.28,47.71,-1.43,-3.0,101462.42,472042.4076,1.0,6.434033087724177,6.536910885583207,6.575837619908244,6.396496593910746
002465.SZ,20100909,46.51,47.25,46.13,46.74,46.28,0.46,0.99,74959.11,350084.873,1.0,6.497984151258168,6.466008619491172,6.5688864173502015,6.413179480050049
002465.SZ,20100910,46.55,46.99,44.64,45.3,46.74,-1.44,-3.08,79317.84,360942.0975,1.0,6.297789517586542,6.471569581537606,6.532740164048381,6.206033643820382
002465.SZ,20100913,45.2,45.88,44.69,45.4,45.3,0.1,0.22,53437.83,241922.8201,1.0,6.311691922702628,6.283887112470458,6.378423467259837,6.212984846378424
