ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close,adj_open,adj_high,adj_low
688716.SH,20230920,33.58,35.99,31.5,31.78,29.66,2.12,7.1477,187212.95,624107.659,1.0,31.347405799960544,33.12290392582363,35.50009863878477,31.071217202604064
688716.SH,20230921,30.5,31.73,29.37,29.37,31.78,-2.41,-7.5834,108298.63,326960.918,1.0,28.97021108699941,30.084829354902347,31.298086407575457,28.97021108699941
688716.SH,20230922,29.25,30.0,28.86,29.52,29.37,0.15,0.5107,60048.52,176408.609,1.0,29.118169264154663,28.851844545275203,29.59163543105149,28.46715328467153
688716.SH,20230925,29.08,29.34,28.28,28.31,29.52,-1.21,-4.0989,54490.95,156087.726,1.0,27.924639968435585,28.68415861116591,28.94061945156836,27.89504833300454
688716.SH,20230926,28.27,29.1,28.23,28.43,28.31,0.12,0.4239,40091.24,114791.516,1.0,28.043006510159792,27.88518445452752,28.703886368119942,27.84572894061945
688716.SH,20230927,28.51,28.99,27.86,27.86,28.43,-0.57,-2.0049,38597.55,109406.679,1.0,27.48076543696981,28.12191753797593,28.595383704872752,27.48076543696981
688716.SH,20230928,27.99,28.15,27.6,27.66,27.86,-0.2,-0.7179,31262.11,87217.654,1.0,27.28348786742947,27.60899585717104,27.76681791280331,27.22430459656737
688716.SH,20231009,27.65,27.95,27.42,27.55,27.66,-0.11,-0.3977,22589.55,62486.179,1.0,27.174985204182285,27.27362398895245,27.569540343262968,27.04675478398106
688716.SH,20231010,27.69,27.95,27.46,27.83,27.55,0.28,1.0163,19922.79,55240.09,1.0,27.45117380153876,27.313079502860525,27.569540343262968,27.08621029788913
688716.SH,20231011,27.83,27.88,27.51,27.64,27.83,-0.19,-0.6827,15634.53,43248.149,1.0,27.26376011047544,27.45117380153876,27.500493193923848,27.13552969027421
688716.SH,20231012,27.7,27.78,26.65,26.76,27.64,-0.88,-3.1838,25355.25,68431.793,1.0,26.395738804497928,27.32294338133754,27.40185440915368,26.287236141250737
688716.SH,20231013,26.58,26.73,26.02,26.07,26.76,-0.69,-2.5785,18671.18,49026.898,1.0,25.715131189583744,26.218188991911617,26.36614716906688,25.665811797198657
688716.SH,20231016,26.6,26.6,25.5,25.69,26.07,-0.38,-1.4576,15908.16,41466.835,1.0,25.340303807457094,26.23791674886565,26.23791674886565,25.152890116393767
688716.SH,20231017,25.34,25.87,25.32,25.85,25.69,0.16,0.6228,13687.49,35042.853,1.0,25.498125863089367,24.99506806076149,25.5178536200434,24.975340303807457
688716.SH,20231018,25.79,26.38,25.38,25.43,25.85,-0.42,-1.6248,17866.02,46148.999,1.0,25.083842967054643,25.438942592227264,26.02091142237128,25.03452357466956
688716.SH,20231019,25.23,25.89,25.07,25.16,25.43,-0.27,-1.0617,10908.62,27736.511,1.0,24.817518248175183,24.886565397514303,25.53758137699744,24.728743341882023
688716.SH,20231020,25.15,25.8,25.13,25.29,25.16,0.13,0.5167,10622.21,26979.77,1.0,24.945748668376403,24.807654369698163,25.44880647070428,24.78792661274413
688716.SH,20231023,25.26,25.3,23.84,23.91,25.29,-1.38,-5.4567,15388.15,37469.882,1.0,23.58453343854804,24.91615703294536,24.955612546853423,23.51548628920892
688716.SH,20231024,23.95,24.5,23.89,24.38,23.91,0.47,1.9657,11318.4,27460.992,1.0,24.048135726967843,23.623988952456106,24.16650226869205,23.564805681594
688716.SH,20231025,24.33,25.29,24.33,25.05,24.38,0.67,2.7482,16758.1,41630.375,1.0,24.709015584928,23.99881633458276,24.945748668376403,23.99881633458276
688716.SH,20231026,25.0,25.85,24.71,25.81,25.05,0.76,3.0339,17839.41,45258.416,1.0,25.458670349181297,24.659696192542903,25.498125863089367,24.37364371670941
