ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close,adj_open,adj_high,adj_low
920806.BJ,20240111,9.8,14.74,9.8,12.33,4.63,7.7,166.3067,619422.33,669280.111,1.0,12.103661529400217,9.62010405418671,14.46942181211348,9.62010405418671
920806.BJ,20240112,11.0,11.58,10.29,10.43,12.33,-1.9,-15.4096,437948.98,478975.902,1.0,10.238539314812998,10.798075979189164,11.367429076273682,10.101109256896043
920806.BJ,20240115,10.39,11.58,10.12,10.69,10.43,0.26,2.4928,333035.65,362032.159,1.0,10.493766565230196,10.199273583979585,11.367429076273682,9.93422990085403
920806.BJ,20240116,10.47,11.88,9.93,11.39,10.69,0.7,6.5482,402679.17,436667.168,1.0,11.180916854814962,10.277805045646414,11.661922057524295,9.747717679395308
920806.BJ,20240117,11.03,11.45,10.7,10.7,11.39,-0.69,-6.0579,288606.03,320171.84,1.0,10.50358299793855,10.827525277314225,11.239815451065082,10.50358299793855
920806.BJ,20240118,10.6,11.35,10.41,11.02,10.7,0.32,2.9907,273023.95,298821.339,1.0,10.817708844605871,10.405418670855012,11.141651123981545,10.21890644939629
920806.BJ,20240119,10.92,11.04,10.59,10.7,11.02,-0.32,-2.9038,212820.71,230322.874,1.0,10.50358299793855,10.719544517522332,10.837341710022578,10.395602238146658
920806.BJ,20240122,10.66,10.81,9.5,9.72,10.7,-0.98,-9.1589,194793.26,198610.004,1.0,9.54157259251988,10.464317267105134,10.611563757730442,9.325611072936097
920806.BJ,20240123,9.75,10.29,9.57,10.2,9.72,0.48,4.9383,162237.98,160888.131,1.0,10.01276136252086,9.57102189064494,10.101109256896043,9.394326101894572
920806.BJ,20240124,10.06,10.61,9.73,10.39,10.2,0.19,1.8627,200460.46,205215.983,1.0,10.199273583979585,9.875331304603908,10.415235103563363,9.551389025228232
920806.BJ,20240125,10.2,11.27,10.1,10.74,10.39,0.35,3.3686,275530.04,296851.007,1.0,10.542848728771965,10.01276136252086,11.063119662314715,9.914597035437325
920806.BJ,20240126,10.82,11.46,10.37,10.38,10.74,-0.36,-3.352,228858.08,248888.045,1.0,10.18945715127123,10.621380190438796,11.249631883773436,10.179640718562874
920806.BJ,20240129,10.6,13.26,10.57,11.4,10.38,1.02,9.8266,392537.78,454789.172,1.0,11.190733287523315,10.405418670855012,13.016589771277118,10.375969372729951
920806.BJ,20240130,11.31,12.45,11.18,12.2,11.4,0.8,7.0175,319262.07,375826.05,1.0,11.976047904191615,11.10238539314813,12.22145872190046,10.974771767939531
920806.BJ,20240131,11.93,12.78,11.41,11.55,12.2,-0.65,-5.3279,257265.47,308878.448,1.0,11.337979778148622,11.711004221066066,12.545401001276137,11.200549720231669
