code,name,exchange,weight
000001,平安银行,深圳主板,0.605
000002,万科A,深圳主板,0.525
000063,中兴通讯,深圳主板,0.632
000069,华侨城A,深圳主板,0.102
000100,TCL科技,深圳主板,0.326
000157,中联重科,深圳主板,0.173
000166,申万宏源,深圳主板,0.23
000301,东方盛虹,深圳主板,0.168
000333,美的集团,深圳主板,1.476
000338,潍柴动力,深圳主板,0.363
000408,藏格矿业,深圳主板,0.096
000425,徐工机械,深圳主板,0.169
000538,云南白药,深圳主板,0.196
000568,泸州老窖,深圳主板,0.898
000596,古井贡酒,深圳主板,0.225
000617,中油资本,深圳主板,0.095
000625,长安汽车,深圳主板,0.403
000651,格力电器,深圳主板,0.884
000661,长春高新,深圳主板,0.246
000708,中信特钢,深圳主板,0.086
000723,美锦能源,深圳主板,0.102
000725,京东方A,深圳主板,0.803
000733,振华科技,深圳主板,0.165
000768,中航西飞,深圳主板,0.181
000776,广发证券,深圳主板,0.245
000786,北新建材,深圳主板,0.145
000792,盐湖股份,深圳主板,0.55
000800,一汽解放,深圳主板,0.044
000858,五粮液,深圳主板,1.778
000876,新希望,深圳主板,0.144
000877,天山股份,深圳主板,0.077
000895,双汇发展,深圳主板,0.133
000938,紫光股份,深圳主板,0.316
000963,华东医药,深圳主板,0.193
000977,浪潮信息,深圳主板,0.238
000983,山西焦煤,深圳主板,0.104
001289,龙源电力,深圳主板,0.015
001979,招商蛇口,深圳主板,0.241
002001,新和成,深圳主板,0.155
002007,华兰生物,深圳主板,0.128
002027,分众传媒,深圳主板,0.381
002049,紫光国微,深圳主板,0.321
002050,三花智控,深圳主板,0.304
002064,华峰化学,深圳主板,0.075
002074,国轩高科,深圳主板,0.149
002120,韵达股份,深圳主板,0.076
002129,TCL中环,深圳主板,0.476
002142,宁波银行,深圳主板,0.584
002179,中航光电,深圳主板,0.272
002180,纳思达,深圳主板,0.168
002202,金风科技,深圳主板,0.157
002230,科大讯飞,深圳主板,0.59
002236,大华股份,深圳主板,0.185
002241,歌尔股份,深圳主板,0.217
002252,上海莱士,深圳主板,0.17
002271,东方雨虹,深圳主板,0.315
002304,洋河股份,深圳主板,0.447
002311,海大集团,深圳主板,0.212
002352,顺丰控股,深圳主板,0.616
002371,北方华创,深圳主板,0.38
002410,广联达,深圳主板,0.218
002414,高德红外,深圳主板,0.071
002415,海康威视,深圳主板,0.861
002459,晶澳科技,深圳主板,0.278
002460,赣锋锂业,深圳主板,0.342
002466,天齐锂业,深圳主板,0.348
002475,立讯精密,深圳主板,0.817
002493,荣盛石化,深圳主板,0.195
002555,三七互娱,深圳主板,0.211
002594,比亚迪,深圳主板,1.248
002601,龙佰集团,深圳主板,0.138
002648,卫星化学,深圳主板,0.137
002709,天赐材料,深圳主板,0.215
002714,牧原股份,深圳主板,0.615
002736,国信证券,深圳主板,0.141
002756,永兴材料,深圳主板,0.089
002812,恩捷股份,深圳主板,0.287
002821,凯莱英,深圳主板,0.151
002841,视源股份,深圳主板,0.132
002916,深南电路,深圳主板,0.079
002920,德赛西威,深圳主板,0.219
002938,鹏鼎控股,深圳主板,0.086
